date,open,high,low,close,volume
2022-08-29,5.9,6.07,5.86,5.99,1301271
2022-08-30,6.05,6.08,5.89,6.03,1377951
2022-08-31,5.93,6.25,5.87,6.2,1602428
2022-09-01,6.07,6.08,5.88,5.91,758578
2022-09-02,5.86,5.97,5.77,5.85,1216660
2022-09-05,5.88,5.89,5.7,5.76,951722
2022-09-06,5.75,5.88,5.68,5.8,970675
2022-09-07,5.68,5.78,5.59,5.67,1228476
2022-09-08,5.81,6.04,5.78,5.98,773446
2022-09-09,5.87,6.09,5.815,6.0,696716
2022-09-12,6.18,6.18,5.98,6.1,666650
2022-09-13,6.08,6.11,5.91,6.11,642283
2022-09-14,5.9,6.0,5.71,5.96,1233195
2022-09-15,6.0,6.04,5.82,5.88,778990
2022-09-16,5.86,5.91,5.81,5.83,2027798
2022-09-19,5.75,5.8,5.6,5.65,514519
2022-09-20,5.65,5.74,5.49,5.53,931873
2022-09-21,5.56,5.58,5.26,5.52,1294961
2022-09-23,5.34,5.47,5.21,5.31,1360117
2022-09-26,5.19,5.55,5.1,5.44,1382607
2022-09-27,5.26,5.46,5.25,5.39,1120136
2022-09-28,4.82,5.01,4.37,4.56,4084338
2022-09-29,4.81,4.83,4.63,4.67,2084389
2022-09-30,4.58,4.76,4.485,4.73,1555902
2022-10-03,4.71,4.8,4.63,4.76,887659
2022-10-04,4.8,4.98,4.745,4.98,1382264
2022-10-05,5.09,5.7,5.07,5.56,2718127
2022-10-06,5.5,5.705,5.46,5.6,871316
2022-10-07,5.61,5.7,5.4,5.4,1310679
2022-10-10,5.29,5.37,5.24,5.31,704808
2022-10-11,5.3,5.4,5.18,5.3,1613124
2022-10-12,5.28,5.3,5.14,5.14,1834301
2022-10-13,5.2,5.43,5.2,5.35,996352
2022-10-14,5.52,5.6,5.23,5.41,945139
2022-10-17,5.25,5.63,5.195,5.59,953703
2022-10-18,5.79,6.25,5.79,6.21,1465394
2022-10-19,6.3,6.46,6.11,6.43,1546138
2022-10-20,6.75,6.88,5.88,6.0,2504180
2022-10-21,6.31,6.87,6.28,6.76,2145258
2022-10-24,6.89,7.09,6.8,6.97,2178097
2022-10-25,7.05,7.22,6.865,7.05,1735079
2022-10-26,7.06,7.155,6.9,7.13,1478317
2022-10-27,7.16,7.27,6.915,6.95,1164510
2022-10-28,6.78,6.94,6.75,6.85,1161940
2022-10-31,7.1,7.15,6.88,6.93,1347403
2022-11-01,6.9,7.13,6.9,7.0,798243
2022-11-02,6.99,7.03,6.795,7.0,915084
2022-11-03,6.72,6.91,6.61,6.79,1368719
2022-11-04,6.7,6.91,6.645,6.91,902649
2022-11-07,7.02,7.18,6.7,6.96,1861013
2022-11-08,6.92,6.96,6.74,6.95,901526
2022-11-09,6.95,7.08,6.83,6.88,865245
2022-11-10,6.87,6.95,6.77,6.87,1026820
2022-11-11,7.13,7.32,6.77,6.78,1939474
2022-11-14,6.85,6.88,6.53,6.76,981171
2022-11-15,6.75,7.0,6.71,6.94,1028866
2022-11-16,6.99,7.09,6.86,7.09,1070317
2022-11-17,7.08,7.21,6.99,7.19,1101434
2022-11-18,7.18,7.2,7.01,7.06,406618
2022-11-21,7.14,7.24,7.105,7.13,451841
2022-11-22,7.14,7.45,7.09,7.45,1498992
2022-11-23,7.46,7.62,7.29,7.58,1454543
2022-11-24,7.5,7.545,7.32,7.45,775871
2022-11-25,7.4,7.51,7.34,7.37,532092
2022-11-28,7.4,7.51,7.29,7.29,412810
2022-11-29,7.4,7.48,7.17,7.24,662199
2022-11-30,7.16,7.36,7.06,7.36,1070740
2022-12-01,7.45,7.46,7.29,7.4,474616
2022-12-02,7.4,7.45,7.24,7.4,457254
2022-12-05,7.47,7.53,7.29,7.4,736520
2022-12-06,7.29,7.29,7.05,7.06,596507
2022-12-07,6.91,6.99,6.71,6.95,1258984
2022-12-08,6.9,6.98,6.835,6.9,608105
2022-12-09,7.0,7.0,6.7,6.81,573412
2022-12-12,6.68,6.74,6.62,6.7,324094
2022-12-13,6.72,7.01,6.67,6.99,605727
2022-12-14,7.05,7.1,6.84,7.1,505125
2022-12-15,7.01,7.135,6.95,7.06,729562
2022-12-16,6.87,7.115,6.82,7.08,560000
2022-12-19,7.03,7.18,6.93,7.06,1992133
2022-12-20,7.05,7.05,6.6,6.84,630608
2022-12-21,6.93,6.96,6.72,6.88,437405
2022-12-22,6.96,7.16,6.91,7.11,600815
2022-12-23,6.97,7.12,6.95,7.12,249374
2022-12-28,6.91,7.01,6.6,6.75,515060
2022-12-29,6.91,7.01,6.75,7.01,584888
2022-12-30,7.0,7.29,6.95,7.27,778714
2023-01-03,7.2,7.28,6.93,7.01,320792
2023-01-04,7.15,7.59,7.12,7.59,833536
2023-01-05,7.6,7.78,7.53,7.73,1132878
2023-01-06,7.6,7.615,7.38,7.4,451935
2023-01-09,7.7,7.72,6.82,6.87,1716403
2023-01-10,6.91,6.96,6.31,6.34,1995715
2023-01-11,6.5,6.69,6.18,6.37,1672941
2023-01-12,6.38,6.59,6.22,6.34,1100912
2023-01-13,6.36,6.62,6.34,6.36,897324
2023-01-16,6.49,6.61,6.41,6.54,724971
2023-01-17,6.5,6.62,6.44,6.51,866420
2023-01-18,6.76,7.15,6.76,7.07,1794455
2023-01-19,7.02,7.22,6.86,7.0,1036209
2023-01-20,6.93,7.14,6.86,7.14,1193303
2023-01-23,7.11,7.41,7.11,7.25,1114736
2023-01-24,7.29,7.29,6.93,7.0,744461
2023-01-25,6.97,7.03,6.85,6.88,767613
2023-01-27,6.94,7.0,6.84,6.92,333045
2023-01-30,7.0,7.285,7.0,7.12,1213605
2023-01-31,7.0,7.165,6.92,7.09,509835
2023-02-01,7.07,7.13,6.76,6.83,748927
2023-02-02,6.97,6.97,6.8,6.88,467452
2023-02-03,7.05,7.05,6.77,6.78,683265
2023-02-06,6.7,6.775,6.67,6.7,473724
2023-02-07,6.61,6.66,6.37,6.59,719986
2023-02-08,6.6,6.7,6.53,6.57,308121
2023-02-09,6.45,6.53,6.37,6.45,736792
2023-02-10,6.38,6.54,6.37,6.5,464864
2023-02-13,6.34,6.39,6.19,6.19,1065109
2023-02-14,6.27,6.38,6.13,6.22,864533
2023-02-15,6.36,6.36,6.04,6.06,732601
2023-02-16,6.11,6.21,6.02,6.2,850070
2023-02-17,6.06,6.15,5.97,6.14,478638
2023-02-20,6.08,6.18,6.01,6.14,413917
2023-02-21,6.11,6.37,6.09,6.3,929844
2023-02-22,6.22,6.32,6.2,6.29,1026151
2023-02-23,6.41,6.58,6.34,6.55,1059455
2023-02-24,6.56,6.61,6.38,6.55,1201515
2023-02-27,6.51,6.73,6.5,6.57,844187
2023-02-28,6.73,6.98,5.825,6.98,2739493
2023-03-01,6.85,6.87,6.34,6.77,1455074
2023-03-02,6.73,7.025,6.69,6.97,927507
2023-03-03,6.91,7.115,6.83,7.01,774273
2023-03-06,7.14,7.33,7.08,7.27,928115
2023-03-07,7.16,7.265,7.08,7.26,890313
2023-03-08,7.17,7.41,7.17,7.38,958061
2023-03-09,7.35,7.4,7.21,7.21,852066
2023-03-10,7.12,7.12,6.88,6.91,770180
2023-03-13,6.8,6.84,6.665,6.72,766044
2023-03-14,6.7,6.72,6.55,6.56,980186
2023-03-15,6.63,6.725,6.51,6.68,982287
2023-03-16,6.6,6.915,6.59,6.86,1110733
2023-03-17,6.91,7.24,6.81,7.23,1291807
2023-03-20,7.23,7.34,7.03,7.07,1046635
2023-03-21,7.15,7.18,6.99,7.1,382954
2023-03-22,7.2,7.26,7.06,7.22,618164
2023-03-23,7.15,7.17,6.74,6.84,981966
2023-03-24,6.77,6.93,6.67,6.81,704484
2023-03-27,6.83,7.035,6.81,7.03,392934
2023-03-28,6.95,7.13,6.81,6.81,709545
2023-03-29,6.77,6.84,6.71,6.73,1010599
2023-03-30,6.8,6.89,6.73,6.84,517419
2023-03-31,6.93,7.0,6.86,6.9,461660
2023-04-03,6.9,7.05,6.76,7.01,1039418
2023-04-04,7.05,7.28,7.015,7.09,703132
2023-04-05,7.12,7.56,7.085,7.37,1401225
2023-04-06,7.33,7.47,7.27,7.45,926209
2023-04-11,7.33,7.48,7.26,7.42,997781
2023-04-12,7.48,7.59,7.36,7.43,610599
2023-04-13,7.4,7.53,7.3,7.45,828673
2023-04-14,7.5,7.78,7.47,7.73,1020116
2023-04-17,7.61,7.89,7.28,7.89,2525133
