date,open,high,low,close,volume
2022-08-29,14.76,14.98,14.3,14.61,1752785
2022-08-30,14.63,14.95,14.63,14.8,939835
2022-08-31,14.7,14.81,14.51,14.53,1472355
2022-09-01,14.74,14.74,14.13,14.18,1593383
2022-09-02,14.04,14.1,13.81,13.82,1626842
2022-09-05,14.23,14.45,13.99,14.15,1181412
2022-09-06,13.96,14.375,13.95,14.29,1101610
2022-09-07,13.96,14.07,13.78,13.95,1069794
2022-09-08,13.83,14.0,13.81,14.0,952584
2022-09-09,14.01,14.13,13.83,13.94,1729918
2022-09-12,14.15,14.24,13.92,13.96,1465644
2022-09-13,14.19,14.33,14.015,14.28,2196458
2022-09-14,14.04,14.04,13.69,13.87,1066283
2022-09-15,13.95,14.43,13.91,14.38,1482425
2022-09-16,14.08,14.19,13.58,13.9,2430560
2022-09-19,13.75,13.9,13.6,13.78,1382377
2022-09-20,13.89,13.99,13.72,13.91,1281460
2022-09-21,13.75,13.87,13.49,13.54,1274815
2022-09-23,13.27,13.41,13.16,13.27,1132774
2022-09-26,12.67,12.74,12.325,12.42,2302817
2022-09-27,12.41,12.6,12.34,12.52,1238205
2022-09-28,12.8,12.96,12.37,12.46,1278825
2022-09-29,12.95,12.95,12.54,12.6,847316
2022-09-30,12.44,12.74,12.44,12.73,1113581
2022-10-03,12.35,12.82,12.27,12.78,1412539
2022-10-04,13.15,13.34,12.95,13.14,1752217
2022-10-05,13.26,13.62,13.18,13.54,2122743
2022-10-06,13.57,13.7,13.28,13.47,2103621
2022-10-07,13.42,13.55,13.21,13.24,875320
2022-10-10,12.92,13.42,12.92,13.31,968981
2022-10-11,13.35,13.57,13.2,13.37,2272183
2022-10-12,13.41,13.47,13.15,13.17,800497
2022-10-13,13.12,13.18,12.895,13.02,1078516
2022-10-14,13.46,13.71,13.4,13.66,1005824
2022-10-17,13.32,13.39,12.94,13.39,1223058
2022-10-18,13.5,13.51,13.15,13.51,1055097
2022-10-19,13.6,13.74,13.48,13.59,611202
2022-10-20,13.7,14.035,13.55,13.73,1435039
2022-10-21,13.5,13.68,13.3,13.42,1259797
2022-10-24,13.75,13.96,13.64,13.91,1734486
2022-10-25,14.1,14.13,13.76,13.95,1055932
2022-10-26,13.9,14.14,13.83,14.1,802143
2022-10-27,14.37,14.48,13.985,14.03,1065933
2022-10-28,13.95,14.24,13.95,14.18,894288
2022-10-31,14.4,14.4,14.11,14.27,836762
2022-11-01,14.27,14.66,14.05,14.66,1022747
2022-11-02,14.8,14.93,14.52,14.54,1003124
2022-11-03,14.14,14.63,14.13,14.5,832533
2022-11-04,14.42,15.14,14.42,15.02,1215734
2022-11-07,15.1,15.19,14.91,15.0,1796145
2022-11-08,15.06,15.065,14.81,14.88,2085398
2022-11-09,14.8,15.2,14.76,15.11,1656104
2022-11-10,14.76,15.15,14.75,14.99,1080060
2022-11-11,15.4,15.43,14.9,14.96,2252547
2022-11-14,15.1,15.24,14.96,15.07,1109216
2022-11-15,14.95,15.07,14.89,15.01,1041625
2022-11-16,14.9,15.05,14.88,14.96,722761
2022-11-17,14.94,15.03,14.72,14.75,1220425
2022-11-18,14.9,14.92,14.71,14.75,1070706
2022-11-21,15.0,15.0,14.65,14.82,1518023
2022-11-22,14.81,14.95,14.79,14.84,709368
2022-11-23,15.0,15.0,14.8,14.88,4160270
2022-11-24,14.8,14.86,14.59,14.63,1053346
2022-11-25,14.8,14.8,14.51,14.61,571806
2022-11-28,14.45,14.55,14.31,14.47,1214470
2022-11-29,14.43,14.68,14.22,14.58,1079853
2022-11-30,14.4,14.78,14.32,14.78,1848823
2022-12-01,15.04,15.08,14.66,14.78,1499639
2022-12-02,14.61,14.78,14.43,14.47,1145508
2022-12-05,14.48,14.78,14.47,14.62,1154743
