Ticker,Company,Price,MarketCapB
CBA,Commonwealth Bank of Australia,169.08,282.95
BHP,BHP Group Ltd,42.65,216.62
WBC,Westpac Banking Corporation,38.30,131
NAB,National Australia Bank Ltd,41.86,128.22
CSL,CSL Ltd,215.16,104.18
WES,Wesfarmers Ltd,91.39,103.66
ANZ,ANZ Group Holdings Ltd,33.15,98.9
MQG,Macquarie Group Ltd,224.60,85.6
GMG,Goodman Group,34.05,69.16
FMG,Fortescue Ltd,19.22,59.18
TLS,Telstra Group Ltd,4.98,56.7
WDS,Woodside Energy Group Ltd,27.03,51.32
TCL,Transurban Group,14.69,45.74
ALL,Aristocrat Leisure Ltd,71.86,44.62
RIO,RIO Tinto Ltd,115.42,42.85
WOW,Woolworths Group Ltd,33.42,40.83
WTC,Wisetech Global Ltd,115.75,38.73
BXB,Brambles Ltd,26.13,35.72
REA,REA Group Ltd,257.91,34.07
SIG,Sigma Healthcare Ltd,2.82,32.55
QBE,QBE Insurance Group Ltd,21.16,31.95
PME,Pro Medicus Ltd,302.38,31.6
COL,Coles Group Ltd,22.50,30.18
XRO,Xero Ltd,164.05,27.13
NST,Northern Star Resources Ltd,18.60,26.6
STO,Santos Ltd,7.97,25.88
RMD,Resmed Inc,44.05,25.7
SUN,Suncorp Group Ltd,21.15,22.9
ORG,Origin Energy Ltd,12.91,22.24
CPU,Computershare Ltd,38.09,22.03
SCG,Scentre Group,4.06,21.15
SGH,SGH Ltd,49.44,20.12
IAG,Insurance Australia Group Ltd,8.47,20.03
COH,Cochlear Ltd,301.01,19.69
FPH,Fisher & Paykel Healthcare Corporation Ltd,33.55,19.67
QAN,Qantas Airways Ltd,11.11,16.81
EVN,Evolution Mining Ltd,8.34,16.79
PMGOLD,Gold Corporation,51.83,16.66
SOL,Washington H Soul Pattinson & Company Ltd,42.14,15.5
SGP,Stockland,6.32,15.17
CAR,CAR Group Ltd,40.09,15.16
MPL,Medibank Private Ltd,5.10,14.05
LYC,Lynas Rare Earths Ltd,14.71,13.76
TNE,Technology One Ltd,40.43,13.24
JHX,James Hardie Industries Plc,30.55,13.13
S32,SOUTH32 Ltd,2.90,13.06
TLC,The Lottery Corporation Ltd,5.84,13
JBH,JB Hi-Fi Ltd,115.04,12.58
ASX,ASX Ltd,61.71,11.99
VCX,Vicinity Centres,2.60,11.86
SHL,Sonic Healthcare Ltd,23.84,11.78
AIA,Auckland International Airport Ltd,6.84,11.55
NEM,Newmont Corporation,109.03,11.44
APA,APA Group,8.71,11.36
CHC,Charter Hall Group,23.85,11.28
GPT,GPT Group,5.60,10.73
ORI,Orica Ltd,21.93,10.45
SEK,Seek Ltd,27.98,10
BSL,Bluescope Steel Ltd,22.68,9.95
TPG,TPG Telecom Ltd,5.27,9.8
MGR,Mirvac Group,2.39,9.43
ALQ,ALS Ltd,18.48,9.37
AFI,Australian Foundation Investment Company Ltd,7.38,9.25
AMC,Amcor Plc,13.04,8.98
NXT,NEXTDC Ltd,13.99,8.96
RHC,Ramsay Health Care Ltd,38.20,8.82
HUB,HUB24 Ltd,106.24,8.62
NWL,Netwealth Group Ltd,35.16,8.62
MCY,Mercury NZ Ltd,5.77,8.12
DXS,Dexus,7.54,8.11
360,LIFE360 Inc,46.32,7.93
ALX,Atlas Arteria,5.39,7.82
HVN,Harvey Norman Holdings Ltd,6.17,7.69
BEN,Bendigo and Adelaide Bank Ltd,13.47,7.65
QUB,QUBE Holdings Ltd,4.21,7.45
YAL,Yancoal Australia Ltd,5.47,7.22
EDV,Endeavour Group Ltd,4.03,7.22
EBO,Ebos Group Ltd,35.39,7.19
